"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"1",1,1,13.417361,17.55149075,17.7451645,17.9478153709,18.084016,21.724342
"2",1,2,15.314313,17.65014225,17.81234,17.829214176,17.96317975,20.287046
"3",1,4,15.068609,17.960771,18.1993255,18.0864012059,18.3621875,20.317762
"4",1,8,15.774896,18.2012655,18.3718835,18.5790538389,18.627981,23.501705
"5",1,16,10.780169,18.710546,19.89587,19.9601359578,20.7072725,80.841331
"6",1,20,14.620875,19.10634825,19.5689575,19.9550089088,20.547111,24.229266
"7",1,32,11.713271,19.9486955,20.1792695,20.1884310685,20.42455225,27.840877
"8",2,1,15.518773,21.21450375,22.274361,22.4560980244,22.80845975,30.815335
"9",2,2,15.746777,17.872028,19.1805215,19.1749766952,20.2823145,23.29455
"10",2,4,12.660151,17.82955625,18.0512905,18.6117370047,19.07093925,24.598624
"11",2,8,15.734586,17.96741525,18.2208565,18.5939074319,18.6549855,23.694722
"12",2,16,13.770481,18.29991525,19.3540195,20.1063936569628,21.960987,70.902425
"13",2,20,15.597747,18.67761275,19.9838515,20.1900089728,20.4958715,28.116963
"14",2,32,10.781749,20.0284835,20.411386,21.9817828547274,25.160574,41.258754
"15",4,1,10.737537,32.6106075,33.9887485,34.0757656157,35.5799565,79.597949
"16",4,2,13.851036,22.24825175,22.462592,23.1727122225,23.919156,32.290082
"17",4,4,16.397873,19.666554,20.599375,20.6282769686,21.76106575,25.080048
"18",4,8,11.306281,17.44980525,18.2076145,18.9452386874,20.3705065,26.751013
"19",4,16,15.969701,18.448428,20.3295455,20.6085834981,22.86810375,27.978466
"20",4,20,15.039869,18.35332325,21.0699115,21.243368184,23.406234,32.40921
"21",4,32,10.895679,20.1812735,21.572988,21.7859331976,23.48507825,42.862943
"22",8,1,10.756638,50.7438165,52.320634,52.7406372297,54.309958,108.088709
"23",8,2,10.756583,35.08566275,35.7248645,36.1665819843,37.77085425,70.074883
"24",8,4,16.833554,27.484386,27.9142515,28.49713042,29.365027,40.717566
"25",8,8,15.969795,20.706097,21.3475435,21.5738689494,22.44936025,26.630431
"26",8,16,11.618955,18.81244125,19.591633,21.4945178309,21.720945,33.647204
"27",8,20,11.468505,18.51876675,21.9058395,21.8179839218,23.813028,28.997835
"28",8,32,10.808662,20.092007,21.922975,22.5422878763,24.703548,66.927137
"29",12,1,39.349761,69.525062,72.787984,72.5105353122,74.49536275,105.975317
"30",12,2,10.767107,47.211908,48.294448,48.3753058647,49.84951175,132.452062
"31",12,4,21.128884,36.6916315,37.071566,37.5685919845985,38.13131,52.329217
"32",12,8,17.772956,26.20459175,26.8073565,27.0218414263,27.5177365,38.568967
"33",12,16,10.720392,21.443196,21.996702,23.1623593439,23.9923745,72.20373
"34",12,20,14.651806,21.45528425,22.4792065,22.8973247543,23.88753225,31.156901
"35",12,32,10.830946,22.033329,22.776047,22.8913366411111,23.7139765,39.075924
"36",16,1,45.512651,88.88702875,91.84318,94.3470958685,97.2927155,131.565543
"37",16,2,21.195219,56.31744425,58.901881,59.427257059,61.409248,95.610989
"38",16,4,21.547015,46.48646925,47.2536315,47.4886553969,48.06086025,70.74662
"39",16,8,15.54027,30.75838475,32.018553,32.0753463788,33.12669225,47.964793
"40",16,16,13.40594,25.16155225,25.494825,25.5715980417,25.87468225,36.716519
"41",16,20,10.762365,24.13569625,24.6133,24.6953410756,25.24698675,39.968276
"42",16,32,10.750243,24.2984715,25.31711,25.2608368749,26.11467125,74.887637
"43",20,1,64.79231,108.487831,113.233879,114.615790633723,119.877603,134.601403
"44",20,2,11.717899,69.2762035,70.8295575,71.1354752345,73.74086525,129.472934
"45",20,4,27.283704,56.44571775,56.8301695,57.0004326909,57.66914375,71.146413
"46",20,8,10.756085,36.955476,37.352275,37.4765562336,38.02325875,66.776333
"47",20,16,15.15632,28.7119145,29.1047135,29.151031527,29.541955,43.194557
"48",20,20,10.748454,28.14554,28.5290175,28.4834904552,28.809932,56.462691
"49",20,32,10.750728,27.405854,28.385385,28.989588497388,29.363725,70.826265
"50",24,1,80.88742,131.84633675,134.2901695,134.330824752875,138.2579945,144.705995
"51",24,2,10.758547,77.86286325,79.4056365,80.9108097321,84.900301,130.896491
"52",24,4,34.066323,65.10250875,66.2351345,66.4326482299,67.84656725,74.988881
"53",24,8,21.192962,42.8170735,43.7103785,44.2599693913,44.72174425,65.305733
"54",24,16,10.769346,32.7484865,33.2967515,33.2470019023,33.66444175,65.832329
"55",24,20,10.74554,31.559862,31.9614785,31.9804827034,32.3731785,59.943231
"56",24,32,10.766969,30.02031025,30.6842315,30.6288250817,31.31807775,70.810117
