"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"1",1,1,55.0989888046238,55.7048401946803,55.7184087014197,55.7173895205803,55.7328498010946,56.3498438582454
"2",1,2,55.5285597292592,56.0734474238505,56.0830274899368,56.0879330535898,56.0932988733694,56.7586784061852
"3",1,4,54.7749192305473,55.2744837310603,55.2852290603366,55.2903519384313,55.2975491722535,56.025155922491
"4",1,8,53.1429373522517,53.8251603775369,53.8411082509429,53.8242744395224,53.8551184138137,54.4764342898821
"5",1,16,41.823885965067,50.1348776105616,50.147923335442,50.1078516002691,50.1651350337836,50.74990212247
"6",1,20,48.669517448652,49.3373747023302,49.3539761190704,49.3612780561735,49.3764747540544,50.0651365215788
"7",1,32,46.2201526514036,47.4826836562282,47.533053358411,47.5214971741934,47.5756023495936,49.1646443289342
"8",2,1,87.3546817197885,89.0535492973386,89.0736870984342,89.0632745521947,89.0918241267844,91.5610568246368
"9",2,2,102.781062317926,104.278317787432,104.296926737998,104.302997122001,104.317354715512,105.48255494697
"10",2,4,106.380877135225,107.413089247664,107.553718686509,107.459640192444,107.586093983091,108.407019662399
"11",2,8,106.838509143606,107.543220773533,107.564885956065,107.562340031303,107.585772205515,108.497107773611
"12",2,16,80.5229595819232,99.6865197886813,99.7082138828931,99.5207174675997,99.73529206266,100.91829237752
"13",2,20,96.6613727327151,99.0037191390654,99.0413490699711,99.0593899141344,99.0946326663215,100.086394575798
"14",2,32,79.5706466458277,85.4490561266601,85.525058530736,85.601536466509,85.5961633663372,109.953267888564
"15",4,1,110.888875020387,117.312803850764,117.328647508754,117.389390584397,117.348381909901,123.339796235873
"16",4,2,169.008330606525,172.536133493005,172.60329887803,172.619445680796,172.647723326873,179.018710816357
"17",4,4,192.530809598408,193.812903181493,193.862438305886,193.909176415539,193.914269936498,195.541226902799
"18",4,8,207.681049342561,211.116160452735,211.174826458138,211.135434624721,211.233196564309,213.122292251307
"19",4,16,186.206381570227,190.375085542227,190.439217658053,190.455444792102,190.537588772499,192.064568300825
"20",4,20,172.15124157876,187.2685134148,187.391273188747,187.354952157886,187.485717684579,189.577040951413
