"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"1",2,1,4.038,5.7395,6.155,6.16965173333333,6.607,8.273
"2",2,2,3.2,4.9555,5.7305,5.67071226666667,6.4465,7.964
"3",2,4,2.425,5.34975,6.245,5.9803096,6.6595,7.523
"4",2,8,1.942,5.53525,6.482,6.17698186666667,6.924,7.693
"5",2,16,2.26,6.38,6.779,6.66102933333333,7.18775,8.215
"6",4,1,7.173,10.79325,11.7885,11.7910626666667,12.7685,15.613
"7",4,2,5.817,10.31825,11.631,11.3924653333333,12.70875,15.065
"8",4,4,4.54,11.01125,11.872,11.5930690666667,12.61875,14.764
"9",4,8,3.883,11.752,12.3845,12.1813818666667,12.87675,15.108
"10",4,16,3.303,12.013,12.5415,12.4152053333333,13.335,14.954
"11",8,1,12.487,20.77625,22.7985,22.7969344,24.81675,31.543
"12",8,2,10.753,21.30975,23.0675,22.7176797333333,24.533,30.027
"13",8,4,10.496,22.44,23.6255,23.5608584,24.89175,29.626
"14",8,8,11.105,22.95225,24.2005,24.2758621333333,26.05775,29.128
"15",8,16,4.669,21.74375,23.308,23.4328552,25.09275,32.647
"16",16,1,29.184,43.36325,46.7765,46.7119186666667,50.1205,60.219
"17",16,2,23.356,42.3045,45.5375,45.2744146666667,48.48975,61.247
"18",16,4,30.886,44.964,47.6595,47.5548128,50.26325,58.838
"19",16,8,15.088,45.3705,48.186,48.1995738666667,51.29775,62.592
"20",16,16,20.064,45.741,48.473,48.4093256,51.94275,60.214
