"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"1",2,1,7.613,8.44525,8.558,8.598144,8.662,10.97
"2",2,2,6.889,7.664,7.876,7.89951973333333,8.115,9.912
"3",2,4,6.108,7.4905,7.694,7.68223546666667,7.828,9.094
"4",2,8,5.805,7.437,7.735,7.7094832,7.991,9.363
"5",2,16,5.683,7.673,7.948,8.01246933333333,8.38325,9.557
"6",4,1,13.398,15.83325,16.112,16.2157922666667,16.501,19.396
"7",4,2,12.302,14.338,14.8265,14.8160853333333,15.236,17.419
"8",4,4,12.719,14.056,14.436,14.4793072,14.73975,16.831
"9",4,8,12.601,14.078,14.3725,14.3680368,14.647,16.185
"10",4,16,12.833,14.286,14.6555,14.6181712,14.97475,17.358
"11",8,1,25.371,30.5155,31.217,31.3090296,32.06525,37.71
"12",8,2,23.275,28.138,28.6325,28.7963176,29.27375,35.554
"13",8,4,22.719,27.35025,27.839,27.9151485333333,28.525,32.32
"14",8,8,23.798,27.01925,27.9985,27.8656872,28.686,31.938
"15",8,16,23.185,27.43925,28.6,28.4349752,29.27075,34.561
"16",16,1,49.432,59.6735,61.071,61.0803085333333,62.3445,73.744
"17",16,2,44.029,54.9665,56.616,56.6352762666667,58.11175,73.496
"18",16,4,46.5,53.724,54.845,55.0650426666667,56.447,63.92
"19",16,8,43.901,53.63125,55.226,54.9881978666667,56.52425,66.991
"20",16,16,46.843,53.1935,55.257,55.4241352,57.37575,63.315
