"","MacroBlockSize","ConcurrencyConstant","Min","Q1","Median","Mean","Q3","Max"
"1",2,1,182.315405651778,230.89355806973,233.699462491236,232.916182294111,236.819514550489,262.708524891633
"2",2,2,201.775625504439,246.457178065311,253.936008125952,253.629128551058,260.960334029228,290.317898098418
"3",2,4,219.925225423356,255.493101686254,259.942812581232,261.055093693719,267.004876407554,327.439423706614
"4",2,8,213.606749973299,250.281566762608,258.564964447317,260.598025839737,268.92564205997,344.530577088717
"5",2,16,209.270691639636,238.570965679367,251.635631605435,250.94182246588,260.654242147791,351.926799225761
"6",4,1,206.228088265622,242.409550936307,248.262164846077,247.136043575094,252.632908783202,298.552022689954
"7",4,2,229.63430736552,262.536098713573,269.787208103169,270.464202263384,278.97893709025,325.150382051699
"8",4,4,237.656704889787,271.375023555501,277.08506511499,276.909009373472,284.575981787137,314.490132872081
"9",4,8,247.142415817115,273.09346623882,278.30927151442,278.61547383174,284.131268646115,317.435124196492
"10",4,16,230.441295080078,267.116312682662,272.935075886585,273.966024993666,279.994400111998,311.696407698901
"11",8,1,212.145319543888,249.491272113288,256.270621776596,256.104147000942,262.161852384628,315.320641677506
"12",8,2,225.009844180683,273.28237761648,279.402776650295,278.331291016626,284.313028644538,343.716433941998
"13",8,4,247.524752475248,280.45574057844,287.366643916807,286.945332279252,292.501896765302,352.128174655575
"14",8,8,250.485315298391,278.881684445374,285.729592747872,287.583376505444,296.085198591917,336.16270274813
"15",8,16,231.474783715749,273.310386708601,279.72027972028,283.009949785552,291.553158413303,345.050679318525
"16",16,1,216.966804078976,256.638516678895,261.990142620884,262.441558780366,268.125717502239,323.676970383557
"17",16,2,217.698922390334,275.331580977829,282.605623851915,283.115648610577,291.086389054637,363.396852074769
"18",16,4,250.312891113892,283.451733484508,291.731242592761,291.047758338627,297.818479946204,344.086021505376
"19",16,8,238.838052872774,283.064348637106,289.718610894254,291.612223467407,298.333528047059,364.456390515022
"20",16,16,252.704730316671,278.86345751966,289.556074343522,289.641846679892,300.788630269504,341.566509403753
