"","ID","Min","Q1","Median","Mean","Q3","Max","Grp"
"1",1000,15.362681,17.53829625,17.8978035,18.1437560922941,18.40229025,22.974625,"ALGORAND"
"2",2000,17.747981,22.07734275,23.320094,23.9080825046176,24.864238,35.620403,"ALGORAND"
"3",3000,11.579045,24.97971925,25.8936855,25.903878881902,26.52863625,51.811376,"ALGORAND"
"4",4000,11.790711,27.705311,28.548392,29.0871915987381,29.648787,57.367355,"ALGORAND"
"5",5000,11.985768,29.84056575,30.72348,31.7795149132583,32.19119925,77.508453,"ALGORAND"
"6",6000,12.021393,31.996258,32.890949,33.4028328043933,34.408388,166.033192,"ALGORAND"
"7",7000,12.143616,33.4265155,35.084254,34.9342152860859,36.1828175,128.35353,"ALGORAND"
"8",8000,12.230931,34.4681095,35.524451,36.4370007695218,37.427999,243.757365,"ALGORAND"
"9",9000,12.379202,35.364522,36.747412,37.8672770342014,38.8575305,349.62102,"ALGORAND"
"10",10000,12.387011,36.4930645,37.893832,38.4557659068983,39.9594685,154.77002,"ALGORAND"
