"","ID","Min","Q1","Median","Mean","Q3","Max","Grp"
"1",1000,282.558235358267,688.563057981568,704.284831943879,702.613065071262,716.379518933356,1864.59115296248,"DANDELION"
"2",2000,260.402561527917,547.486606698347,563.189980255049,564.455012922794,577.514294177474,1778.01358189015,"DANDELION"
"3",3000,229.948923361895,473.806446026975,497.686541438613,500.783028665554,512.912692437469,1735.2469521038,"DANDELION"
"4",4000,223.750832956637,446.226675353453,459.567783625353,464.769528412556,477.16294278874,1702.13287461987,"DANDELION"
"5",5000,210.581129882584,418.277234443857,433.023196801955,432.834438796566,444.322018917555,1670.27543593563,"DANDELION"
"6",6000,208.589361565013,396.600664318021,413.85100548516,415.838768471708,430.147035655712,1657.38709444049,"DANDELION"
"7",7000,192.21054232943,384.89515342963,396.973462415198,402.322348259376,412.269105917298,1633.64565098615,"DANDELION"
"8",8000,189.531279668815,370.604814759486,386.667181965131,389.308173500238,399.454947720663,1629.44909873948,"DANDELION"
"9",9000,202.961504677035,362.435496222126,380.542257876326,382.083686611296,396.069901347107,1597.48772690117,"DANDELION"
"10",10000,191.679804560204,363.761307378633,374.890859898782,379.555610763729,389.384045595417,1608.22355465331,"DANDELION"
